time_s,signal,time_min,time_hour,smoothed_signal,baseline,detrended_signal
0.13,-0.419961,0.0021666666666666666,3.611111111111111e-05,-0.419931,-0.419858,-7.299999999998974e-05
0.265,-0.419916,0.004416666666666667,7.361111111111111e-05,-0.419921,-0.419858,-6.299999999997974e-05
0.399,-0.419875,0.0066500000000000005,0.00011083333333333333,-0.4199185,-0.419858,-6.049999999996336e-05
0.53,-0.419968,0.008833333333333334,0.00014722222222222223,-0.419921,-0.419858,-6.299999999997974e-05
0.664,-0.419953,0.011066666666666667,0.00018444444444444446,-0.419923,-0.419858,-6.499999999998174e-05
0.794,-0.419902,0.013233333333333335,0.00022055555555555557,-0.419921,-0.419858,-6.299999999997974e-05
0.925,-0.419886,0.015416666666666667,0.00025694444444444446,-0.4199185,-0.419858,-6.049999999996336e-05
1.055,-0.419964,0.017583333333333333,0.0002930555555555555,-0.419921,-0.419858,-6.299999999997974e-05
1.186,-0.41996,0.019766666666666665,0.00032944444444444444,-0.419923,-0.419858,-6.499999999998174e-05
1.332,-0.419885,0.0222,0.00037,-0.419921,-0.419858,-6.299999999997974e-05
1.47,-0.419846,0.0245,0.0004083333333333333,-0.4199185,-0.419858,-6.049999999996336e-05
1.609,-0.419946,0.026816666666666666,0.0004469444444444444,-0.419921,-0.419858,-6.299999999997974e-05
1.75,-0.419921,0.029166666666666667,0.0004861111111111111,-0.419916,-0.419858,-5.8000000000002494e-05
1.885,-0.419873,0.03141666666666667,0.0005236111111111111,-0.419902,-0.419858,-4.399999999998849e-05
2.024,-0.419925,0.03373333333333333,0.0005622222222222222,-0.419921,-0.419858,-6.299999999997974e-05
2.157,-0.419935,0.03595,0.0005991666666666667,-0.419921,-0.419858,-6.299999999997974e-05
2.299,-0.419869,0.038316666666666666,0.0006386111111111111,-0.419902,-0.419858,-4.399999999998849e-05
2.432,-0.419876,0.04053333333333333,0.0006755555555555555,-0.419898,-0.419858,-3.999999999998449e-05
2.571,-0.419945,0.042850000000000006,0.0007141666666666668,-0.419921,-0.419858,-6.299999999997974e-05
2.704,-0.419973,0.04506666666666667,0.0007511111111111111,-0.419921,-0.419858,-6.299999999997974e-05
2.848,-0.419885,0.047466666666666664,0.000791111111111111,-0.419898,-0.4198575,-4.049999999999887e-05
2.982,-0.419887,0.0497,0.0008283333333333334,-0.419898,-0.419857,-4.100000000001325e-05
3.115,-0.419936,0.05191666666666667,0.0008652777777777779,-0.419921,-0.419857,-6.40000000000085e-05
3.255,-0.419893,0.05425,0.0009041666666666666,-0.419921,-0.419857,-6.40000000000085e-05
3.399,-0.419872,0.05665,0.0009441666666666667,-0.419898,-0.419857,-4.100000000001325e-05
3.541,-0.419939,0.05901666666666667,0.000983611111111111,-0.419925,-0.419857,-6.80000000000125e-05
3.671,-0.41995,0.06118333333333333,0.0010197222222222222,-0.419935,-0.419857,-7.80000000000225e-05
3.814,-0.419874,0.06356666666666667,0.0010594444444444445,-0.419898,-0.419857,-4.100000000001325e-05
3.946,-0.419898,0.06576666666666667,0.001096111111111111,-0.419898,-0.419857,-4.100000000001325e-05
4.08,-0.41996,0.068,0.0011333333333333334,-0.419935,-0.419857,-7.80000000000225e-05
4.22,-0.419957,0.07033333333333333,0.001172222222222222,-0.419935,-0.419857,-7.80000000000225e-05
4.352,-0.419895,0.07253333333333334,0.001208888888888889,-0.419898,-0.419857,-4.100000000001325e-05
4.484,-0.419891,0.07473333333333333,0.0012455555555555555,-0.419898,-0.419857,-4.100000000001325e-05
4.616,-0.419961,0.07693333333333333,0.0012822222222222221,-0.419935,-0.419857,-7.80000000000225e-05
